t,x,y,z,K11,K12,K13,K21,K22,K23,K31,K32,K33,D11,D12,D13,D21,D22,D23,D31,D32,D33
0.000000000000000000e+00,5.423781797701261453e-01,2.474660708034321505e-02,1.127262437143684154e-01,2.000000000009999894e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000009999894e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000009999894e+02,3.150622623192110083e+01,4.740493462078734233e+00,2.617432844157316030e+00,4.740493462078734233e+00,6.537841799892842687e+01,1.877063690419536712e+01,2.617432844157316030e+00,1.877063690419536712e+01,1.623499992157518790e+01
1.000000000000000021e-03,5.423756928084471074e-01,2.474651503540164013e-02,1.127257139611209102e-01,1.998927508757702469e+02,-4.779886427636638457e-03,-4.993971928601294644e-03,-4.779886427636638457e-03,2.000145942695465067e+02,-1.103967243140765477e-02,-4.993971928601294644e-03,-1.103967243140765477e-02,1.998980594364445267e+02,3.150160729954858496e+01,4.729091732120655145e+00,2.621392067512697377e+00,4.729091732120655145e+00,6.534105126277802356e+01,1.876564916339847500e+01,2.621392067512697377e+00,1.876564916339847500e+01,1.623785858630684942e+01
2.000000000000000042e-03,5.423731792385355632e-01,2.474642416744383608e-02,1.127252526818351003e-01,1.997855637333530012e+02,-9.582984833769254279e-03,-9.976095175615606186e-03,-9.582984833769254279e-03,2.000291894074532024e+02,-2.207607392199726140e-02,-9.976095175615606186e-03,-2.207607392199726140e-02,1.997962399575953043e+02,3.149698403949436099e+01,4.717679979993646633e+00,2.625354854846174479e+00,4.717679979993646633e+00,6.530366162810028641e+01,1.876065313890616437e+01,2.625354854846174479e+00,1.876065313890616437e+01,1.624072200440836866e+01
3.000000000000000062e-03,5.423706396851416534e-01,2.474633378688847335e-02,1.127248522578460227e-01,1.996784386379303271e+02,-1.440930635976937421e-02,-1.494636217356164545e-02,-1.440930635976937421e-02,2.000437854011487673e+02,-3.310919514828959687e-02,-1.494636217356164545e-02,-3.310919514828959687e-02,1.996945416425526219e+02,3.149235645282188756e+01,4.706258210211110793e+00,2.629321204954586655e+00,4.706258210211110793e+00,6.526624913985936871e+01,1.875564882041295789e+01,2.629321204954586655e+00,1.875564882041295789e+01,1.624359018241618102e+01
4.000000000000000083e-03,5.423680747095412924e-01,2.474624327882574137e-02,1.127245056628587566e-01,1.995713756536444521e+02,-1.925886210310123747e-02,-1.990476537342895577e-02,-1.925886210310123747e-02,2.000583822370237499e+02,-4.413902677230025634e-02,-1.990476537342895577e-02,-4.413902677230025634e-02,1.995929645692183101e+02,3.148772454061122517e+01,4.694826427328500529e+00,2.633291116621270689e+00,4.694826427328500529e+00,6.522881384318741027e+01,1.875063619761650102e+01,2.633291116621270689e+00,1.875063619761650102e+01,1.624646312686965999e+01
5.000000000000000104e-03,5.423654848170312848e-01,2.474615209660501608e-02,1.127242064217151840e-01,1.994643748445979270e+02,-2.413166311718352441e-02,-2.485129724474468421e-02,-2.413166311718352441e-02,2.000729799014303296e+02,-5.516555944154050151e-02,-2.485129724474468421e-02,-5.516555944154050151e-02,1.994915088152949636e+02,3.148308830395902902e+01,4.683384635943385277e+00,2.637264588616032857e+00,4.683384635943385277e+00,6.519135578338448056e+01,1.874561526021760471e+01,2.637264588616032857e+00,1.874561526021760471e+01,1.624934084431110648e+01
6.000000000000000125e-03,5.423628704635750086e-01,2.474605975600267793e-02,1.127239485718889850e-01,1.993574362748526028e+02,-2.902772041125112334e-02,-2.978595027564032507e-02,-2.902772041125112334e-02,2.000875783806824870e+02,-6.618878378901828230e-02,-2.978595027564032507e-02,-6.618878378901828230e-02,1.993901744582855713e+02,3.147844774397858458e+01,4.671932840695498967e+00,2.641241619695138709e+00,4.671932840695498967e+00,6.515387500591869241e+01,1.874058599792033419e+01,2.641241619695138709e+00,1.874058599792033419e+01,1.625222334128569912e+01
7.000000000000000146e-03,5.423602320616855987e-01,2.474596582991845165e-02,1.127237266275328692e-01,1.992505600084299147e+02,-3.394704495021676205e-02,-3.470871697291855185e-02,-3.394704495021676205e-02,2.001021776610557197e+02,-7.720869043323930203e-02,-3.470871697291855185e-02,-7.720869043323930203e-02,1.992889615754924648e+02,3.147380286179991771e+01,4.660471046266878581e+00,2.645222208601273106e+00,4.660471046266878581e+00,6.511637155642648622e+01,1.873554840043214753e+01,2.645222208601273106e+00,1.873554840043214753e+01,1.625511062434149068e+01
8.000000000000000167e-03,5.423575699856275634e-01,2.474586994354906547e-02,1.127235355459164090e-01,1.991437461093104559e+02,-3.888964765453276073e-02,-3.961958986212003875e-02,-3.888964765453276073e-02,2.001167777287874685e+02,-8.822526997820824557e-02,-3.961958986212003875e-02,-8.822526997820824557e-02,1.991878702440169491e+02,3.146915365856969160e+01,4.648999257381825956e+00,2.649206354063543323e+00,4.648999257381825956e+00,6.507884548071221786e+01,1.873050245746387787e+01,2.649206354063543323e+00,1.873050245746387787e+01,1.625800270002937964e+01
9.000000000000001055e-03,5.423548845760232107e-01,2.474577176999726014e-02,1.127233706960924092e-01,1.990369946414335800e+02,-4.385553940005265661e-02,-4.451856148759028575e-02,-4.385553940005265661e-02,2.001313785700766061e+02,-9.923851301343009079e-02,-4.451856148759028575e-02,-9.923851301343009079e-02,1.990869005407583643e+02,3.146450013545137736e+01,4.637517478807033910e+00,2.653194054797449297e+00,4.637517478807033910e+00,6.504129682474854235e+01,1.872544815872989332e+01,2.653194054797449297e+00,1.872544815872989332e+01,1.626089957490308180e+01
1.000000000000000021e-02,5.423521761439159539e-01,2.474567102627420537e-02,1.127232278296523005e-01,1.989303056686972582e+02,-4.884473101789284233e-02,-4.940562441254649217e-02,-4.884473101789284233e-02,2.001459801710836928e+02,-1.102484101139115380e-01,-4.940562441254649217e-02,-1.102484101139115380e-01,1.989860525424135744e+02,3.145984229362517581e+01,4.626025715351647527e+00,2.657185309504857873e+00,4.626025715351647527e+00,6.500372563467621490e+01,1.872038549394811113e+01,2.657185309504857873e+00,1.872038549394811113e+01,1.626380125551909472e+01
