t,x,y,z,K11,K12,K13,K21,K22,K23,K31,K32,K33,D11,D12,D13,D21,D22,D23,D31,D32,D33
0.000000000000000000e+00,5.423755979503391833e-01,2.474861360614699635e-02,1.127256492412510441e-01,2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+02,4.765680311315521323e+01,-3.967461827705848210e-02,2.139412637440331366e+01,-3.967461827705848210e-02,4.018754065449910939e+01,1.131731476047594676e+01,2.139412637440331366e+01,1.131731476047594676e+01,2.392638992180934210e+01
1.000000000000000021e-03,5.423680146275636771e-01,2.475265332055617828e-02,1.127240105201713638e-01,2.002192063835368003e+02,1.211009178552334281e-01,-2.159770658294339063e-01,1.211009178552334281e-01,1.997429331606437302e+02,1.004352376829686089e-01,-2.159770658294339063e-01,1.004352376829686089e-01,1.993076890101619654e+02,4.754333987694435848e+01,-5.793747906930383357e-02,2.144140698988439198e+01,-5.793747906930383357e-02,4.027649035592059334e+01,1.132352361087482784e+01,2.144140698988439198e+01,1.132352361087482784e+01,2.390176689406919408e+01
2.000000000000000042e-03,5.423578818266502344e-01,2.475907238576207856e-02,1.127221836857849324e-01,2.004392796228815712e+02,2.419172485775541726e-01,-4.324701291941769332e-01,2.419172485775541726e-01,1.994861069118803130e+02,2.014451849129056671e-01,-4.324701291941769332e-01,2.014451849129056671e-01,1.986126422473838318e+02,4.742875734287905942e+01,-7.638239945495466088e-02,2.148900898565785411e+01,-7.638239945495466088e-02,4.036647756299637280e+01,1.132970403690136685e+01,2.148900898565785411e+01,1.132970403690136685e+01,2.387761727016926727e+01
3.000000000000000062e-03,5.423451535774566068e-01,2.476818412612965051e-02,1.127205008213170434e-01,2.006605308784701833e+02,3.624973508696719970e-01,-6.495997491387410783e-01,3.624973508696719970e-01,1.992292979433392759e+02,3.030301405293487349e-01,-6.495997491387410783e-01,3.030301405293487349e-01,1.979148742033019062e+02,4.731305587022895054e+01,-9.500949198754633784e-02,2.153692729485336343e+01,-9.500949198754633784e-02,4.045750658464148586e+01,1.133585251293545859e+01,2.153692729485336343e+01,1.133585251293545859e+01,2.385396379366970976e+01
4.000000000000000083e-03,5.423297780533963275e-01,2.478030222116362619e-02,1.127192942896445976e-01,2.008829573652907072e+02,4.828329806669797719e-01,-8.673603088404907568e-01,4.828329806669797719e-01,1.989725131751043534e+02,4.051975670292997100e-01,-8.673603088404907568e-01,4.051975670292997100e-01,1.972143450487370160e+02,4.719623615219823165e+01,-1.138188245838745727e-01,2.158515662985534078e+01,-1.138188245838745727e-01,4.054958149399382705e+01,1.134196540901099404e+01,2.158515662985534078e+01,1.134196540901099404e+01,2.383082955973529948e+01
5.000000000000000104e-03,5.423116978553471634e-01,2.479574077165506985e-02,1.127188964533783894e-01,2.011065559315250084e+02,6.029157941665540532e-01,-1.085745941669869596e+00,6.029157941665540532e-01,1.987157596280442533e+02,5.079550262921673776e-01,-1.085745941669869596e+00,5.079550262921673776e-01,1.965110144549589108e+02,4.707829922179519855e+01,-1.328104199216478820e-01,2.163369148067409853e+01,-1.328104199216478820e-01,4.064270612005035588e+01,1.134803898941139977e+01,2.163369148067409853e+01,1.134803898941139977e+01,2.380823800686901492e+01
6.000000000000000125e-03,5.422908502838140743e-01,2.481481433309471948e-02,1.127196393922407502e-01,2.013313230528706015e+02,7.227373486209611730e-01,-1.304750529274349091e+00,7.227373486209611730e-01,1.984590444254113208e+02,6.113101799793154711e-01,-1.304750529274349091e+00,6.113101799793154711e-01,1.958048416042162216e+02,4.695924645755980009e+01,-1.519842548674850691e-01,2.168252611347621084e+01,-1.519842548674850691e-01,4.073688403922901102e+01,1.135406941129319947e+01,2.168252611347621084e+01,1.135406941129319947e+01,2.378621290797848076e+01
7.000000000000000146e-03,5.422671676072600144e-01,2.483783791621786002e-02,1.127218546219173750e-01,2.015572548270287143e+02,8.422891032233544850e-01,-1.524367699832384071e+00,8.422891032233544850e-01,1.982023747944603826e+02,7.152707898992756164e-01,-1.524367699832384071e+00,7.152707898992756164e-01,1.950957852011085265e+02,4.683907958913852809e+01,-1.713402599368579748e-01,2.173165456928058603e+01,-1.713402599368579748e-01,4.083211856686278907e+01,1.136005272333967042e+01,2.173165456928058603e+01,1.136005272333967042e+01,2.376477836076320571e+01
8.000000000000000167e-03,5.422405773343773605e-01,2.486512695242049445e-02,1.127258728192470638e-01,2.017843469683707553e+02,9.615624200861375703e-01,-1.744590826484297974e+00,9.615624200861375703e-01,1.979457580680862634e+02,8.198447183376116332e-01,-1.744590826484297974e+00,8.198447183376116332e-01,1.943838034848160419e+02,4.671780070269608132e+01,-1.908783187875679188e-01,2.178107066282662174e+01,-1.908783187875679188e-01,4.092841274863207701e+01,1.136598486444651179e+01,2.178107066282662174e+01,1.136598486444651179e+01,2.374395877741155303e+01
9.000000000000001055e-03,5.422110024972081055e-01,2.489699721948531591e-02,1.127320235590790337e-01,2.020125948027930747e+02,1.080548565315416543e+00,-1.965413025946939563e+00,1.080548565315416543e+00,1.976892016864785546e+02,9.250399283504344705e-01,-1.965413025946939563e+00,9.250399283504344705e-01,1.936688542422021442e+02,4.659541224615325206e+01,-2.105982677483536347e-01,2.183076798162090526e+01,-2.105982677483536347e-01,4.102576935194267804e+01,1.137186166244169527e+01,2.183076798162090526e+01,1.137186166244169527e+01,2.372377887359730764e+01
1.000000000000000021e-02,5.421783619504065843e-01,2.493376472066926100e-02,1.127406350683408803e-01,2.022419932627718993e+02,1.199238710183416545e+00,-2.186827157318864678e+00,1.199238710183416545e+00,1.974327131987915322e+02,1.030864484020592275e+00,-2.186827157318864678e+00,1.030864484020592275e+00,1.929508948218029047e+02,4.647191703423975184e+01,-2.304998953842029852e-01,2.188073988516838142e+01,-2.304998953842029852e-01,4.112419085725609591e+01,1.137767883284140957e+01,2.188073988516838142e+01,1.137767883284140957e+01,2.370426365676614822e+01
1.099999999999999936e-02,5.421425706895685037e-01,2.497574550778215718e-02,1.127520340028235341e-01,2.024725368826291572e+02,1.317623932400983300e+00,-2.408825821082726026e+00,1.317623932400983300e+00,1.971763002648279439e+02,1.137326550675584969e+00,-2.408825821082726026e+00,1.137326550675584969e+00,1.922298821487162002e+02,4.634731825335201449e+01,-2.505829420999380885e-01,2.193097950439458188e+01,-2.505829420999380885e-01,4.122367944938041973e+01,1.138343197764432801e+01,2.193097950439458188e+01,1.138343197764432801e+01,2.368543841370410163e+01
